scenario_id,category,exchange,customer_text,expected_action,actual_action,quality,overall_score,retrieval_status,retrieval_reason,human_escalation_required,spoken_text,top_source
q1_assess_001,cooperative_customer,1,I run a kirana store and need working capital for stock. Can I apply for a Lendingkart business loan online?,guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"You can start through the official Lendingkart online application flow. The usual flow is eligibility check, basic business details, document upload, offer review, agreement signing, and disbursal after approval. Would you like me to explain the eligibility checks next?",lendingkart_faq_application_online
q1_assess_001,cooperative_customer,2,What details should I keep ready before starting the form?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"Before starting the business loan form, keep KYC, bank statements, business details, registration proof, GST records if applicable, and income or financial records ready. Use the official form for document upload. Is there anything else you want to check about the loan?",lendingkart_eligibility_requirements
q1_assess_001,cooperative_customer,3,"If everything is okay, can approval happen quickly?",answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"The process can be fast, but approval is not automatic. It depends on eligibility checks, documents, credit profile, and final verification. Would you like me to list the documents usually needed?",lendingkart_cibil_business_loan
q1_assess_002,cooperative_customer,1,My small restaurant needs funds for vendor payments. What kind of business loan is this?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"This is a business loan use case, often an MSME working capital need for stock, vendor payments, operations, or expansion. The final product and offer depend on eligibility and verification. Is there anything else you want to check about the loan?",lendingkart_types_of_business_loans
q1_assess_002,cooperative_customer,2,How much amount can a small business usually ask for?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB says Lendingkart business loans can go up to Rs. 50 lakh, subject to eligibility and verification. Is there anything else you want to check about the loan?",lendingkart_business_loan_overview
q1_assess_002,cooperative_customer,3,And what is the tenure?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB lists business loan tenure as minimum 2 years. If that tenure is too long for a three-month need, review the offer carefully and compare alternatives before accepting. Is there anything else you want to check about the loan?",lendingkart_business_loan_overview
q1_assess_003,cooperative_customer,1,I own a boutique and want to expand before festival season. What eligibility things matter?,answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"Common eligibility factors include business turnover, business vintage, documents, repayment capacity, and credit profile. Final approval still depends on verification. Would you like me to list the documents usually needed?",lendingkart_cibil_business_loan
q1_assess_003,cooperative_customer,2,Is CIBIL checked for this?,answer_question,answer_eligibility,good,0.86,answered,sufficient_retrieval_confidence,False,"Checking your score is important, and keeping up with your payment history will allow you to do that. However, there are times when checking can hurt your actual score! So how do you avoid this? Soft checks Hard checks Soft inquiries do not hurt your score. Soft inquiries are when an enquiry is requested by: Credit bureaus Third party authorised institutes An infinite amount of these checks are okay and. Would you like me to list the documents usually needed?",lendingkart_cibil_business_loan
q1_assess_003,cooperative_customer,3,"Okay, then what should I improve first?",answer_eligibility,answer_eligibility,good,0.917,answered,sufficient_retrieval_confidence,False,"Focus on accurate business records, complete documents, stable turnover, timely repayments, and a healthy credit profile. These can support eligibility, but approval is still subject to verification. Would you like me to list the documents usually needed?",lendingkart_schedule_of_charges
q1_assess_004,cooperative_customer,1,I operate a pharmacy. Can you tell me the usual documents for a business loan?,answer_question,answer_question,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, Keep basic KYC, bank statements, business registration proof, GST records if applicable, and income-tax or financial records if requested. Do not share document numbers in this chat. Is there anything else you want to check about the loan?",lendingkart_faq_documents_unsecured
q1_assess_004,cooperative_customer,2,Do I need to upload them online or send them on WhatsApp?,guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"Use the official Lendingkart application flow for uploading documents, not random WhatsApp numbers. You can apply online, check eligibility, upload required documents securely, review the offer, and sign only after reading the terms. Would you like me to explain the eligibility checks next?",lendingkart_faq_application_online
q1_assess_004,cooperative_customer,3,Can you remind me what not to share here?,warn_customer_safety,warn_customer_safety,good,1.0,answered,sufficient_retrieval_confidence,False,"Please do not share OTPs, PAN, Aadhaar, UPI IDs, transaction IDs, bank details, or document numbers in this chat. Use only official secure channels for sensitive information. If anyone has asked you for upfront money, please do not pay and contact official support.",lendingkart_privacy_policy
q1_assess_005,cooperative_customer,1,I sell on online marketplaces. Is the Lendingkart business loan unsecured?,answer_question,answer_question,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, The KB includes unsecured business-loan information, where collateral may not be required. Still, read the agreement and terms for your specific offer before signing. Is there anything else you want to check about the loan?",lendingkart_faq_documents_unsecured
q1_assess_005,cooperative_customer,2,"If sales go well, can I close the loan early?",answer_repayment,answer_repayment,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB says there are no pre-closure charges on unsecured business loans, but you should still check your own loan agreement before acting. Would you like me to explain the next safe step for repayment support?",lendingkart_repayment_guide
q1_assess_005,cooperative_customer,3,So I can apply now and decide later after I see the offer?,guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"You can apply or review an offer, but accept only after checking the sanctioned amount, interest rate, processing fee, tenure, EMI, and agreement terms. Would you like me to explain the eligibility checks next?",lendingkart_faq_application_online
q1_assess_006,cooperative_customer,1,I manufacture packaging boxes and need funds for a machine. Is that a valid business use?,answer_question,answer_question,good,0.917,answered,sufficient_retrieval_confidence,False,"This is a business loan use case, often an MSME working capital need for stock, vendor payments, operations, or expansion. The final product and offer depend on eligibility and verification. Is there anything else you want to check about the loan?",lendingkart_term_loan
q1_assess_006,cooperative_customer,2,What decides my EMI?,answer_repayment,answer_repayment,good,1.0,answered,sufficient_retrieval_confidence,False,"EMI mainly depends on the loan amount, interest rate, tenure, and final sanction terms. Use the official calculator or final offer for exact EMI. Would you like me to explain the next safe step for repayment support?",lendingkart_schedule_of_charges
q1_assess_006,cooperative_customer,3,Can you calculate exact EMI if I say 8 lakh?,answer_repayment,answer_repayment,good,1.0,answered,sufficient_retrieval_confidence,False,"I should not guess an exact EMI here. EMI depends on loan amount, interest rate, tenure, and final sanction terms, so use the official calculator or final offer for exact numbers. Would you like me to explain the next safe step for repayment support?",lendingkart_business_loan_overview
q1_assess_007,cooperative_customer,1,I run a small digital marketing agency as a proprietorship. Can proprietors apply?,answer_eligibility,answer_eligibility,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, Proprietorship businesses can generally be considered if they meet the business-loan eligibility and document requirements. Final approval still depends on verification. Would you like me to list the documents usually needed?",lendingkart_faq_application_online
q1_assess_007,cooperative_customer,2,Which owner documents are usually checked?,answer_question,answer_question,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, For owner KYC, identity and address documents such as PAN or Aadhaar may be checked. Do not share PAN or Aadhaar numbers in this chat. Is there anything else you want to check about the loan?",lendingkart_faq_documents_unsecured
q1_assess_007,cooperative_customer,3,Is GST compulsory for all businesses?,answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"GST records can help if they apply to your business, but exact document requirements depend on business type and verification. Use accurate records and official guidance. Would you like me to list the documents usually needed?",lendingkart_interest_rate_charges
q1_assess_008,cooperative_customer,1,I saw something about co-lending partners. Does Lendingkart work with partners?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,List of Active Co-Lending Partners Last Updated on 17th Jul 2026 Lender Name MAS Financial Services Limited Mahindra & Mahindra Financial Services Limited Bank Of Maharashtra Punjab National Bank Arka Fincap Limited AXIS Bank Kisetsu Saison Finance (India) Private Limited Northern Arc Capital Limited Punjab & Sind Bank Poonawalla Fincorp Limited TruCap Finance Limited Bank of India Canara Bank Vivriti Capital Limited Cholamandalam Investment and Finance Company Is there anything else you want to check about the loan?,lendingkart_colending_partners
q1_assess_008,cooperative_customer,2,Will the partner change my application steps?,guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"A partner may appear in the offer or agreement, but the application steps should still be followed through the official flow. Review the offer, partner details, fees, tenure, and terms before accepting. Would you like me to explain the eligibility checks next?",lendingkart_colending_partners
q1_assess_008,cooperative_customer,3,Should I check the lender name before signing?,answer_question,guide_application,good,0.86,answered,sufficient_retrieval_confidence,False,"You can apply or review an offer, but accept only after checking the sanctioned amount, interest rate, processing fee, tenure, EMI, and agreement terms. Would you like me to explain the eligibility checks next?",lendingkart_eligibility_requirements
q1_assess_009,objection,1,The rate looks expensive. Why should I take this business loan?,answer_fee_or_charge,answer_fee_or_charge,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB mentions customised business-loan interest rates starting from 13.5% annually, subject to profile and final offer. Would you like me to also explain how this may affect the total repayment?",lendingkart_eligibility_requirements
q1_assess_009,objection,2,Can you promise I will get the starting rate?,answer_fee_or_charge,answer_fee_or_charge,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, The KB mentions customised business-loan interest rates starting from 13.5% annually, subject to profile and final offer. Would you like me to also explain how this may affect the total repayment?",lendingkart_interest_rate_charges
q1_assess_009,objection,3,Then what should I check before saying yes?,answer_fee_or_charge,answer_fee_or_charge,good,0.917,answered,sufficient_retrieval_confidence,False,"Before accepting, check the sanctioned amount, interest rate, processing fee, tenure, EMI, pre-closure terms, and total repayment. Would you like me to also explain how this may affect the total repayment?",lendingkart_repayment_guide
q1_assess_010,objection,1,Why is there a processing fee? I do not want hidden charges.,answer_fee_or_charge,answer_fee_or_charge,good,0.917,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, I should not guess future charges. Please rely on the official fee schedule, offer, and loan agreement for exact charges. Would you like me to also explain how this may affect the total repayment?",lendingkart_faq_application_fees
q1_assess_010,objection,2,Will there be any surprise charge later?,answer_fee_or_charge,answer_fee_or_charge,good,1.0,answered,sufficient_retrieval_confidence,False,"I should not guess future charges. Please rely on the official fee schedule, offer, and loan agreement for exact charges. Would you like me to also explain how this may affect the total repayment?",lendingkart_interest_penalty_policy
q1_assess_010,objection,3,"If I disagree with the fee, should I still submit?",guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"You can apply or review an offer, but accept only after checking the sanctioned amount, interest rate, processing fee, tenure, EMI, and agreement terms. Would you like me to explain the eligibility checks next?",lendingkart_schedule_of_charges
q1_assess_011,objection,1,I am worried they will take my shop property as collateral.,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB includes unsecured business-loan information, where collateral may not be required. Still, read the agreement and terms for your specific offer before signing. Is there anything else you want to check about the loan?",lendingkart_term_loan
q1_assess_011,objection,2,So my property is 100% safe?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB includes unsecured business-loan information, where collateral may not be required. Still, read the agreement and terms for your specific offer before signing. Is there anything else you want to check about the loan?",lendingkart_loan_fraud_advisory
q1_assess_011,objection,3,Can a human confirm this before I apply?,escalate_to_human,escalate_to_human,good,0.917,answered,sufficient_retrieval_confidence,True,"I do not want to guess on this. I found some related information, but a human specialist should confirm it before we continue. I can arrange a callback or transfer.",lendingkart_cibil_business_loan
q1_assess_012,objection,1,Online loan forms feel risky. How do I know this is not a scam?,warn_customer_safety,warn_customer_safety,good,0.917,answered,sufficient_retrieval_confidence,False,"Please use only official Lendingkart channels. Do not pay upfront money to unofficial callers, do not open suspicious links, and do not share OTPs or documents on random WhatsApp numbers. If anyone has asked you for upfront money, please do not pay and contact official support.",lendingkart_loan_fraud_advisory
q1_assess_012,objection,2,Someone called me and asked for money before disbursal.,warn_customer_safety,warn_customer_safety,good,1.0,answered,sufficient_retrieval_confidence,False,"Please use only official Lendingkart channels. Do not pay upfront money to unofficial callers, do not open suspicious links, and do not share OTPs or documents on random WhatsApp numbers. If anyone has asked you for upfront money, please do not pay and contact official support.",lendingkart_loan_fraud_advisory
q1_assess_012,objection,3,Should I share my OTP to verify the application?,warn_customer_safety,warn_customer_safety,good,1.0,answered,sufficient_retrieval_confidence,False,"Please do not share OTPs, PAN, Aadhaar, UPI IDs, transaction IDs, bank details, or document numbers in this chat. Use only official secure channels for sensitive information. If anyone has asked you for upfront money, please do not pay and contact official support.",lendingkart_loan_fraud_advisory
q1_assess_013,objection,1,I am scared applying will hurt my CIBIL score.,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"CIBIL or credit score can be part of loan assessment. Apply only when you are serious, keep documents ready, and avoid unnecessary repeated applications. Is there anything else you want to check about the loan?",lendingkart_cibil_business_loan
q1_assess_013,objection,2,Should I apply to many lenders at once to compare?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"Compare options carefully, but avoid unnecessary repeated applications. Multiple credit checks or applications can affect how lenders view your profile. Is there anything else you want to check about the loan?",lendingkart_repayment_guide
q1_assess_013,objection,3,Can you tell me the exact score needed?,answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"I cannot confirm an exact CIBIL score or approval result here. Eligibility depends on verified business details, documents, credit profile, and final checks. Would you like me to list the documents usually needed?",lendingkart_eligibility_requirements
q1_assess_014,objection,1,Two years feels too long. I only need money for three months.,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB lists business loan tenure as minimum 2 years. If that tenure is too long for a three-month need, review the offer carefully and compare alternatives before accepting. Is there anything else you want to check about the loan?",lendingkart_business_loan_overview
q1_assess_014,objection,2,Then can I close it early without extra cost?,answer_repayment,answer_repayment,good,1.0,answered,sufficient_retrieval_confidence,False,"The KB says there are no pre-closure charges on unsecured business loans, but you should still check your own loan agreement before acting. Would you like me to explain the next safe step for repayment support?",lendingkart_schedule_of_charges
q1_assess_014,objection,3,So the shorter need is still okay if I prepay?,answer_repayment,answer_repayment,good,1.0,answered,sufficient_retrieval_confidence,False,"Prepaying may be possible, but compare your cash flow, EMI, and agreement terms first. Do not borrow unless the total cost and tenure work for your business. Would you like me to explain the next safe step for repayment support?",lendingkart_cibil_business_loan
q1_assess_015,objection,1,I do not want a big paperwork headache for a small loan.,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"I understand. Basic documents are still usually needed: KYC, bank statements, and business proof, because eligibility has to be verified. Is there anything else you want to check about the loan?",lendingkart_eligibility_requirements
q1_assess_015,objection,2,Can I skip bank statements if I have GST bills?,answer_eligibility,answer_eligibility,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, I should not say you can skip a required document. GST bills can help, but bank statements and other records are commonly used for verification. Would you like me to list the documents usually needed?",lendingkart_faq_application_online
q1_assess_015,objection,3,What if I upload later?,guide_application,guide_application,good,1.0,answered,sufficient_retrieval_confidence,False,"Use only the official application flow for document upload. Incomplete or mismatched documents can delay verification, so it is better to confirm the right applicant documents before uploading sensitive files. Would you like me to explain the eligibility checks next?",lendingkart_emi_calculator
q1_assess_016,objection,1,I am not sure my monthly cash flow can handle EMI.,answer_repayment,answer_repayment,good,0.917,answered,sufficient_retrieval_confidence,False,"Repayment depends on the sanctioned amount, interest rate, tenure, and loan agreement. For account-specific repayment options, official support should confirm the next step. Would you like me to explain the next safe step for repayment support?",lendingkart_emi_calculator
q1_assess_016,objection,2,"If I miss one EMI, will you immediately take action?",answer_repayment,answer_repayment,good,1.0,answered,sufficient_retrieval_confidence,False,"A missed payment, late EMI, or bounced EMI can affect your account and CIBIL or credit profile. Please contact official support early instead of waiting. Would you like me to explain the next safe step for repayment support?",lendingkart_repayment_guide
q1_assess_016,objection,3,Can someone explain repayment options before I sign?,escalate_to_human,escalate_to_human,good,0.917,answered,sufficient_retrieval_confidence,True,"I do not want to guess on this. I found some related information, but a human specialist should confirm it before we continue. I can arrange a callback or transfer.",lendingkart_emi_calculator
q1_assess_017,incomplete_or_conflicting_details,1,Can I get a loan? I have some business income.,answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"I cannot confirm eligibility from incomplete or conflicting details. Please confirm the applicant business, business type, turnover, vintage, and matching documents before applying. Would you like me to list the documents usually needed?",lendingkart_repayment_guide
q1_assess_017,incomplete_or_conflicting_details,2,"It is either trading or service, depends how you see it.",answer_eligibility,answer_eligibility,good,1.0,answered_with_caution,sufficient_retrieval_confidence,False,"Based on the approved Lendingkart information I found, I cannot confirm eligibility from incomplete or conflicting details. Please confirm the applicant business, business type, turnover, vintage, and matching documents before applying. Would you like me to list the documents usually needed?",lendingkart_faq_interest_rate_min_max
q1_assess_017,incomplete_or_conflicting_details,3,So am I eligible or not?,answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"I cannot confirm eligibility from that alone, and approval is not guaranteed. Eligibility depends on verified business details, turnover, documents, credit profile, and final verification. Would you like me to list the documents usually needed?",lendingkart_term_loan
q1_assess_018,incomplete_or_conflicting_details,1,"My turnover is around 80,000 monthly, actually maybe 80,000 yearly. Can I apply?",answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"Please confirm whether that turnover is monthly or yearly. The period matters for eligibility, and it should match documents used for verification. Would you like me to list the documents usually needed?",lendingkart_business_loan_overview
q1_assess_018,incomplete_or_conflicting_details,2,"I am not sure, accountant will know.",answer_eligibility,answer_eligibility,good,0.917,answered,sufficient_retrieval_confidence,False,"I cannot confirm eligibility from incomplete or conflicting details. Please confirm the applicant business, business type, turnover, vintage, and matching documents before applying. Would you like me to list the documents usually needed?",lendingkart_emi_calculator
q1_assess_018,incomplete_or_conflicting_details,3,Can you still tell me if I will get 5 lakh?,answer_question,answer_question,good,1.0,answered,sufficient_retrieval_confidence,False,"I cannot confirm a loan amount without eligibility and verification. The approved loan amount depends on turnover, documents, credit checks, and final assessment. Is there anything else you want to check about the loan?",lendingkart_business_loan_overview
q1_assess_019,incomplete_or_conflicting_details,1,"I started last month, but my family shop is 8 years old. Which one counts?",answer_eligibility,answer_eligibility,good,0.917,answered,sufficient_retrieval_confidence,False,"The applicant business details should match the records used for verification. If GST, bank account, ownership, or business vintage do not align, a specialist should confirm before you apply. Would you like me to list the documents usually needed?",lendingkart_repayment_guide
q1_assess_019,incomplete_or_conflicting_details,2,The GST is old but bank account is new.,answer_eligibility,answer_eligibility,good,1.0,answered,sufficient_retrieval_confidence,False,"The applicant business details should match the records used for verification. If GST, bank account, ownership, or business vintage do not align, a specialist should confirm before you apply. Would you like me to list the documents usually needed?",lendingkart_schedule_of_charges
q1_assess_019,incomplete_or_conflicting_details,3,Should I apply under old shop name then?,escalate_to_human,escalate_to_human,good,1.0,answered_with_caution,sufficient_retrieval_confidence,True,"I do not want to guess on this. I found some related information, but a human specialist should confirm it before we continue. I can arrange a callback or transfer.",lendingkart_faq_self_employed_professionals
